"municipio","species_richness"
"DAGUA",69
"CALI",61
"CALIMA",55
"BUENAVENTURA",52
"EL CERRITO",48
"PALMIRA",48
"LA CUMBRE",46
"BUGA",46
"EL CAIRO",45
"SEVILLA",42
"CARTAGO",41
"JAMUNDÍ",39
"YUMBO",37
"TULUÁ",35
"YOTOCO",35
"GINEBRA",32
"PRADERA",31
"RESTREPO",29
"EL ÁGUILA",26
"RIOFRÍO",26
"TRUJILLO",25
"FLORIDA",24
"LA UNIÓN",23
"VERSALLES",22
"CANDELARIA",21
"ROLDANILLO",21
"BOLÍVAR",19
"ANDALUCÍA",18
"BUGALAGRANDE",18
"EL DOVIO",18
"CAICEDONIA",17
"ANSERMANUEVO",17
"ARGELIA",16
"ALCALÁ",15
"ULLOA",14
"VIJES",14
"GUACARÍ",14
"LA VICTORIA",13
"SAN PEDRO",13
"TORO",12
"OBANDO",9
"ZARZAL",7
